forecast_period,start_time,temperature,temperature_unit,precipitation_probability_unit,precipitation_probability_value,dewpoint_unit,dewpoint_value,relative_humidity_unit,relative_humidity_value,wind_speed,wind_direction,weather_icon_url,short_forecast
127,2025-05-03T22:00:00-05:00,56,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,66,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
128,2025-05-03T23:00:00-05:00,54,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,71,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
129,2025-05-04T00:00:00-05:00,52,F,wmoUnit:percent,2,wmoUnit:degC,6.666666666666667,wmoUnit:percent,74,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
130,2025-05-04T01:00:00-05:00,51,F,wmoUnit:percent,2,wmoUnit:degC,6.666666666666667,wmoUnit:percent,77,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
131,2025-05-04T02:00:00-05:00,50,F,wmoUnit:percent,2,wmoUnit:degC,6.666666666666667,wmoUnit:percent,78,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
132,2025-05-04T03:00:00-05:00,50,F,wmoUnit:percent,2,wmoUnit:degC,6.111111111111111,wmoUnit:percent,78,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
133,2025-05-04T04:00:00-05:00,50,F,wmoUnit:percent,2,wmoUnit:degC,6.111111111111111,wmoUnit:percent,77,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
134,2025-05-04T05:00:00-05:00,50,F,wmoUnit:percent,2,wmoUnit:degC,6.111111111111111,wmoUnit:percent,77,0 mph,,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
135,2025-05-04T06:00:00-05:00,50,F,wmoUnit:percent,2,wmoUnit:degC,6.111111111111111,wmoUnit:percent,77,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
136,2025-05-04T07:00:00-05:00,52,F,wmoUnit:percent,2,wmoUnit:degC,6.666666666666667,wmoUnit:percent,74,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
137,2025-05-04T08:00:00-05:00,55,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,67,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
138,2025-05-04T09:00:00-05:00,60,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,59,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
139,2025-05-04T10:00:00-05:00,64,F,wmoUnit:percent,2,wmoUnit:degC,7.777777777777778,wmoUnit:percent,52,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
140,2025-05-04T11:00:00-05:00,67,F,wmoUnit:percent,2,wmoUnit:degC,7.777777777777778,wmoUnit:percent,48,5 mph,E,https://api.weather.gov/icons/land/day/few?size=small,Sunny
141,2025-05-04T12:00:00-05:00,69,F,wmoUnit:percent,2,wmoUnit:degC,8.333333333333334,wmoUnit:percent,44,5 mph,ENE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
142,2025-05-04T13:00:00-05:00,71,F,wmoUnit:percent,4,wmoUnit:degC,8.333333333333334,wmoUnit:percent,42,5 mph,ENE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
143,2025-05-04T14:00:00-05:00,73,F,wmoUnit:percent,4,wmoUnit:degC,8.333333333333334,wmoUnit:percent,40,5 mph,NE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
144,2025-05-04T15:00:00-05:00,74,F,wmoUnit:percent,4,wmoUnit:degC,8.88888888888889,wmoUnit:percent,39,5 mph,NE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
145,2025-05-04T16:00:00-05:00,74,F,wmoUnit:percent,4,wmoUnit:degC,8.88888888888889,wmoUnit:percent,40,5 mph,NNE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
146,2025-05-04T17:00:00-05:00,73,F,wmoUnit:percent,4,wmoUnit:degC,9.444444444444445,wmoUnit:percent,42,5 mph,NNE,https://api.weather.gov/icons/land/day/few?size=small,Sunny
147,2025-05-04T18:00:00-05:00,71,F,wmoUnit:percent,4,wmoUnit:degC,10,wmoUnit:percent,46,5 mph,NNE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
148,2025-05-04T19:00:00-05:00,69,F,wmoUnit:percent,2,wmoUnit:degC,10,wmoUnit:percent,51,5 mph,NNE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
149,2025-05-04T20:00:00-05:00,66,F,wmoUnit:percent,2,wmoUnit:degC,10,wmoUnit:percent,55,5 mph,NE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
150,2025-05-04T21:00:00-05:00,63,F,wmoUnit:percent,2,wmoUnit:degC,9.444444444444445,wmoUnit:percent,60,5 mph,ENE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
151,2025-05-04T22:00:00-05:00,60,F,wmoUnit:percent,2,wmoUnit:degC,8.88888888888889,wmoUnit:percent,64,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
152,2025-05-04T23:00:00-05:00,58,F,wmoUnit:percent,2,wmoUnit:degC,8.333333333333334,wmoUnit:percent,67,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
153,2025-05-05T00:00:00-05:00,57,F,wmoUnit:percent,2,wmoUnit:degC,8.333333333333334,wmoUnit:percent,69,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
154,2025-05-05T01:00:00-05:00,56,F,wmoUnit:percent,2,wmoUnit:degC,7.777777777777778,wmoUnit:percent,69,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
155,2025-05-05T02:00:00-05:00,55,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,69,5 mph,E,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
156,2025-05-05T03:00:00-05:00,55,F,wmoUnit:percent,2,wmoUnit:degC,7.222222222222222,wmoUnit:percent,69,5 mph,ESE,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear
